dataset;numQuery;queryArea;areaInt;cardinality;executionTime;mbrTests
dataset-1999;0;5.000000000000016E-4;5.000000000000016E-4;0;--;0
dataset-2000;0;5.00000000000013E-4;0.0;0;--;0
dataset-1999;1;4.999999999999955E-4;4.999999999999955E-4;366;--;462037
dataset-1999;2;5.000000000000011E-4;5.000000000000011E-4;0;--;0
dataset-1998;0;4.999999999999936E-4;4.999999999999936E-4;0;--;0
dataset-2000;1;4.999999999999774E-4;4.999999999999774E-4;5670;--;571357
dataset-1997;8;0.0010000000000000028;0.0010000000000000028;5366;--;485366
dataset-0001;35;0.07000000000000002;0.07000000000000002;249288;--;1812312
dataset-0003;48;0.13000000000000003;0.13000000000000003;100700;--;1829797
dataset-0006;44;0.09999999999999996;0.0;0;--;0
